chebi	name
CHEBI:16997	1,2-propanediol
CHEBI:16016	1,3-dihydroxyacetone
CHEBI:17567	1,3-dihydroxyacetone
CHEBI:16070	1,5-anhydroglucitol (1,5-ag)
CHEBI:75094	10-heptadecenoate (17:1n7)
CHEBI:55328	16-hydroxypalmitate
CHEBI:64395	1-arachidonoylglycerophosphoethanolamine*
CHEBI:75572	1-arachidonylglycerol
CHEBI:75612	1-arachidonylglycerol
CHEBI:74340	1-heptadecanoylglycerophosphocholine
CHEBI:75565	1-linoleoylglycerol (1-monolinolein)
CHEBI:75568	1-linoleoylglycerol (1-monolinolein)
CHEBI:1606	1-methylimidazoleacetate
CHEBI:75342	1-oleoylglycerol (1-monoolein)
CHEBI:75757	1-oleoylglycerol (1-monoolein)
CHEBI:74342	1-oleoylglycerophosphocholine
CHEBI:74971	1-oleoylglycerophosphoethanolamine
CHEBI:75168	1-oleoylglycerophosphoethanolamine
CHEBI:52649	1-oleoylglycerophosphoserine
CHEBI:69081	1-palmitoylglycerol (1-monopalmitin)
CHEBI:75811	1-palmitoylglycerol (1-monopalmitin)
CHEBI:73004	1-palmitoylglycerophosphoethanolamine
CHEBI:73134	1-palmitoylglycerophosphoethanolamine
CHEBI:75555	1-stearoylglycerol (1-monostearin)
CHEBI:75557	1-stearoylglycerol (1-monostearin)
CHEBI:73858	1-stearoylglycerophosphocholine
CHEBI:75036	1-stearoylglycerophosphoethanolamine
CHEBI:37023	2-aminoadipate
CHEBI:37024	2-aminoadipate
CHEBI:28797	2-aminobutyrate
CHEBI:17172	2'-deoxyguanosine
CHEBI:28997	2'-deoxyinosine
CHEBI:50613	2-hydroxybutyrate (ahb)
CHEBI:1148	2-hydroxybutyrate (ahb)
CHEBI:17084	2-hydroxyglutarate
CHEBI:32796	2-hydroxyglutarate
CHEBI:9008	2-hydroxyhippurate (salicylurate)
CHEBI:50129	2-hydroxyisobutyrate
CHEBI:65101	2-hydroxypalmitate
CHEBI:28635	2-isopropylmalate
CHEBI:35128	2-isopropylmalate
CHEBI:75457	2-linoleoylglycerol (2-monolinolein)
CHEBI:73026	2-methylbutyroylcarnitine
CHEBI:73990	2-oleoylglycerol (2-monoolein)
CHEBI:75455	2-palmitoylglycerol (2-monopalmitin)
CHEBI:17835	2-phosphoglycerate
CHEBI:17385	3-(4-hydroxyphenyl)lactate
CHEBI:1387	3,4-dihydroxyphenethyleneglycol
CHEBI:27389	3-aminoisobutyrate
CHEBI:57885	3-dehydrocarnitine*
CHEBI:15468	3'-dephosphocoenzyme a
CHEBI:17066	3-hydroxybutyrate (bhba)
CHEBI:20067	3-hydroxybutyrate (bhba)
CHEBI:70824	3-hydroxyhippurate
CHEBI:37098	3-hydroxyoctanoate
CHEBI:43355	3-indoxyl sulfate
CHEBI:35932	3-methyl-2-oxovalerate
CHEBI:15614	3-methyl-2-oxovalerate
CHEBI:27596	3-methylhistidine
CHEBI:17050	3-phosphoglycerate
CHEBI:18261	3-ureidopropionate
CHEBI:46195	4-acetaminophen sulfate
CHEBI:32635	4-acetaminophen sulfate
CHEBI:2710	4-androsten-3beta,17beta-diol disulfate 1*
CHEBI:15728	4-guanidinobutanoate
CHEBI:57486	4-guanidinobutanoate
CHEBI:30830	4-hydroxybutyrate (ghb)
CHEBI:16724	4-hydroxybutyrate (ghb)
CHEBI:32811	4-hydroxyglutamate
CHEBI:71018	4-hydroxyhippurate
CHEBI:48999	4-hydroxyphenylacetate
CHEBI:18101	4-hydroxyphenylacetate
CHEBI:48430	4-methyl-2-oxopentanoate
CHEBI:15901	5,6-dihydrouracil
CHEBI:15887	5-aminovalerate
CHEBI:356010	5-aminovalerate
CHEBI:60943	5-hete
CHEBI:17509	5-methylthioadenosine (mta)
CHEBI:30821	5-methyluridine (ribothymidine)
CHEBI:52449	5-oxoete
CHEBI:18183	5-oxoproline
CHEBI:28158	6-keto prostaglandin f1alpha
CHEBI:48928	6-phosphogluconate
CHEBI:17500	7-beta-hydroxycholesterol
CHEBI:42989	7-beta-hydroxycholesterol
CHEBI:57589	acetylcarnitine
CHEBI:15960	acetylcarnitine
CHEBI:16708	adenine
CHEBI:16335	adenosine
CHEBI:28223	adenosine 2'-monophosphate (2'-amp)
CHEBI:60880	adenosine 3'-monophosphate (3'-amp)
CHEBI:28931	adenosine 3'-monophosphate (3'-amp)
CHEBI:456215	adenosine 5'-monophosphate (amp)
CHEBI:16027	adenosine 5'-monophosphate (amp)
CHEBI:15919	adenylosuccinate
CHEBI:30832	adipate
CHEBI:53487	adrenate (22:4n6)
CHEBI:17431	agmatine
CHEBI:16977	alanine
CHEBI:57972	alanine
CHEBI:16576	alanylalanine
CHEBI:57822	alanylalanine
CHEBI:28718	allo-threonine
CHEBI:58585	allo-threonine
CHEBI:5390	alpha-glutamylglutamate
CHEBI:60645	alpha-hydroxyisovalerate
CHEBI:18145	alpha-tocopherol
CHEBI:16032	androsterone sulfate
CHEBI:18323	anserine
CHEBI:58445	anserine
CHEBI:18333	arabitol
CHEBI:15963	ribitol
CHEBI:18403	arabitol
CHEBI:20912	arabonate
CHEBI:28822	arachidate (20:0)
CHEBI:15843	arachidonate (20:4n6)
CHEBI:16467	arginine
CHEBI:29073	ascorbate (vitamin c)
CHEBI:17196	asparagine
CHEBI:58048	asparagine
CHEBI:17053	aspartate
CHEBI:73830	aspartylphenylalanine
CHEBI:2904	atenolol
CHEBI:48131	azelate (nonanedioate)
CHEBI:30746	benzoate
CHEBI:16958	beta-alanine
CHEBI:57966	beta-alanine
CHEBI:30841	beta-hydroxypyruvate
CHEBI:17750	betaine
CHEBI:47771	beta-tocopherol
CHEBI:16990	bilirubin (z,z)
CHEBI:21949	butyrylcarnitine
CHEBI:30813	caprate (10:0)
CHEBI:30776	hexanoylcarnitine
CHEBI:28837	caprylate (8:0)
CHEBI:16347	carnitine
CHEBI:68505	catechol sulfate
CHEBI:18135	catechol sulfate
CHEBI:41423	celecoxib
CHEBI:16359	cholate
CHEBI:16113	cholesterol
CHEBI:15354	choline
CHEBI:18132	choline phosphate
CHEBI:68616	cinnamoylglycine
CHEBI:32805	cis-aconitate
