BR:MCF7	BR:MDA_MB_231	BR:HS578T	BR:BT_549	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60
IDH2	1.64	-0.98	0.33	-0.67	1.63	0.18	-0.51	0.51	-0.45	0.68	-0.13	1.72	-0.39	-0.85	0.32	-0.05	1.66	0.35	2.27	1.42
MOS	0.86	-0.92	-1.41	-0.24	0	0.76	-0.31	-0.95	-0.48	-1.25	-0.35	1.59	-0.13	0.49	-0.51	-0.03	1.21	-0.16	-2.35	0.86
RAF1	1.14	0.4	0.24	1.29	1.54	2.01	0.11	-0.19	1.02	0	-0.48	-1.59	0.52	0.27	0.93	-0.78	-0.51	-0.5	0.77	-0.23
WISP1	-0.19	-0.24	4.12	-0.1	-0.22	0.46	-0.03	5.34	-0.16	3.93	-0.15	-0.16	-0.35	-0.17	-0.35	-0.18	-0.1	-0.27	-0.07	-0.03
EZH2	0.93	0.11	-1.3	0.15	-0.99	0.83	-0.48	-0.25	0.37	-0.09	-0.77	-0.83	0.3	0.65	0.96	1.57	-0.56	1.34	1.22	0.93
WNT2	-0.24	0.03	-0.06	-0.3	0.06	-0.11	0.05	-0.14	0.09	-0.28	-0.17	-0.13	0.09	-0.48	-0.65	-0.04	-0.09	-0.65	0.03	-0.02
WNT7B	0.65	-0.43	0.42	-0.65	-0.01	-1.12	0.49	-0.01	-0.59	-0.67	-0.57	-0.42	-0.4	-0.37	-0.42	0.65	-0.51	-0.84	-0.71	-0.6
RET	2.51	-0.38	-0.18	-0.2	0.14	-0.55	-0.27	-0.46	-0.31	0	-0.12	-0.19	-0.53	0.76	-0.66	-0.46	-0.16	-0.36	-0.25	4.52
PML	-0.86	0.26	-0.28	0.46	-1.14	-0.82	0.24	0.67	0.04	-0.45	0.78	-0.47	-0.03	-0.89	-0.85	2.1	-1.4	-0.8	0.49	0.35
BRAF	-0.46	-0.47	0.29	-1.09	-0.75	0.33	0.3	NA	-0.3	0.23	-2.14	-1.4	0.7	1.02	0.41	0.91	-0.93	0.69	0.37	-0.31
ERBB2	0.61	0.16	-0.22	-0.22	1.42	0.16	-0.02	0.05	-0.48	0.54	-0.71	1.29	0.9	0.23	1.04	0.91	0.61	-0.21	-1.53	-1.53
EGFR	-1.12	0.43	0.29	0.69	-0.75	0.51	0.06	0.15	-0.16	-0.18	-0.29	-0.54	-0.04	0	-0.08	0.63	-0.21	-1.15	-1.01	-1.08
WNT8B	1.71	-0.56	-0.5	-0.79	1.5	-0.3	-0.1	-0.86	-0.56	-0.61	0.54	0.65	-0.77	0.96	2.79	-0.24	0.74	0.44	0.56	0.58
JAK2	1.25	-1.09	0.72	1.51	-0.5	0.06	0.77	-0.22	-0.14	1.25	-0.91	-0.6	0.01	0.01	-0.5	-0.84	0.11	-1.76	-0.94	0.66
WISP2	1.06	0.08	0.25	1.59	0.45	-1.12	-0.61	0.68	-0.52	0.75	-0.2	-0.84	-0.94	-0.86	-1.54	-1.21	-0.48	-0.3	-0.12	-0.44
FZD5	-0.19	-0.6	-0.95	-1.27	-0.68	-0.4	-0.54	-0.5	0.19	-0.14	-0.57	3	1.58	0.17	0.32	2.77	1.04	1.11	-1.32	-0.94
PIM1	-0.46	0.89	0.8	1.23	-1.19	0.99	-0.34	1.21	0.96	-0.19	-0.03	0.1	0.43	-0.09	0.57	-0.94	0.72	-1.45	-1	-0.5
WNT2B	1.92	-0.1	-0.27	1.92	-0.49	-0.7	-0.53	-0.14	-0.4	-0.14	-0.28	-0.49	-0.29	0.08	-0.59	-0.44	-0.32	-0.5	-0.39	-0.54
IDH1	-0.77	-1.28	-1.17	-0.57	-1.03	-0.43	0.31	-0.22	-0.26	-0.07	-0.78	1.19	1.63	0.31	0.73	0.04	0.43	-0.31	-0.87	0.06
WNT9A	0.26	0.44	-0.1	-0.31	1.31	-0.42	0.09	-0.44	-0.13	0.29	0.11	-0.8	-0.21	-0.12	-0.58	-0.79	-0.12	-0.53	-0.4	-0.43
